test,80
boost,77
covid19,55
dos,53
vir,53
shot,52
heal,41
infect,38
rapid,37
diseas,35
pfiz,33
receiv,32
antig,27
contagy,27
hospit,24
infecty,23
expert,23
cdc,22
fda,22
study,22
immun,22
cas,21
covid,21
symptom,20
breakthrough,20
pcr,18
unvaccin,18
protect,17
pandem,15
issu,15
highrisk,14
modern,14
mand,12
medicin,12
mrna,11
coronavir,10
saf,10
research,10
