url,Twitter Link,Source
https://www.cnn.com/2021/09/27/politics/joe-biden-booster-shot/index.html?utm_medium=social&utm_source=twcnnbrk&utm_term=link&utm_content=2021-09-27T15%3A26%3A44,https://twitter.com/cnnbrk/status/1442511032157626369,CNN
https://www.cnn.com/2021/09/28/us/lebron-james-covid-19-vaccine/index.html?utm_content=2021-09-28T23%3A28%3A02&utm_medium=social&utm_source=twCNNi&utm_term=link,https://twitter.com/cnni/status/1442994543599632388,CNN
https://www.cnn.com/2021/09/27/us/new-york-vaccine-mandate-explainer/index.html?utm_content=2021-09-27T10%3A24%3A05&utm_source=twCNNi&utm_medium=social&utm_term=link,https://twitter.com/cnni/status/1442434868370083842,CNN
https://www.cnn.com/2021/09/24/health/lasker-awards-mrna-weissman-kariko/index.html?utm_term=link&utm_source=twCNNi&utm_medium=social&utm_content=2021-09-26T12%3A01%3A06,https://twitter.com/cnni/status/1442096893564121090,CNN
https://www.cnn.com/2021/09/24/politics/united-airlines-employees-vaccine-mandate-lawsuit/index.html?utm_source=twCNNi&utm_medium=social&utm_term=link&utm_content=2021-09-25T00%3A13%3A25,https://twitter.com/cnni/status/1441556412912467968,CNN
https://www.cnn.com/2021/09/24/health/us-coronavirus-friday/index.html?utm_source=twCNNi&utm_medium=social&utm_content=2021-09-24T10%3A20%3A02&utm_term=link,https://twitter.com/cnni/status/1441346685716754433,CNN
https://www.cnn.com/2021/09/24/health/cdc-booster-recommendation-walensky/index.html?utm_medium=social&utm_source=twCNNi&utm_content=2021-09-24T06%3A48%3A16&utm_term=link,https://twitter.com/cnni/status/1441293391044571143,CNN
https://www.cnn.com/2021/09/23/health/pfizer-acip-booster-recommendation/index.html?utm_source=twCNNi&utm_medium=social&utm_term=link&utm_content=2021-09-23T20%3A20%3A26,https://twitter.com/cnni/status/1441135389536751628,CNN
https://www.breitbart.com/politics/2021/09/29/poll-majority-voters-say-people-should-not-lose-their-job-rejecting-coronavirus-vaccine/?utm_source=facebook&utm_medium=social,https://twitter.com/BreitbartNews/status/1443681363354398721,Breitbart
https://www.breitbart.com/politics/2021/09/29/united-airlines-to-fire-nearly-600-employees-who-refused-chinese-coronavirus-vaccine/,https://twitter.com/BreitbartNews/status/1443389649347616777,Breitbart
